id,date,time,event_hour,latitude,longitude,category,subcategory,GEOID
95983107021,2020-09-08,22:20:00,22,37.779048919677734,-122.42847442626953,Motor Vehicle Theft,Motor Vehicle Theft,060750161022
95983407041,2020-09-08,22:27:00,22,37.78470993041992,-122.41780853271484,Recovered Vehicle,Recovered Vehicle,060750122022
95986168030,2020-09-08,22:43:00,22,37.76840591430664,-122.41780090332031,Courtesy Report,Courtesy Report,060750177002
95983007041,2020-09-08,22:45:00,22,37.756561279296875,-122.42678833007812,Recovered Vehicle,Recovered Vehicle,060750206021
96005707025,2020-09-08,23:00:00,23,37.773040771484375,-122.43062591552734,Motor Vehicle Theft,Motor Vehicle Theft,060750168022
96008428100,2020-09-08,23:00:00,23,37.78624725341797,-122.40933227539062,Malicious Mischief,Vandalism,060750123013
96157674000,2020-09-08,23:00:00,23,37.723670959472656,-122.45513916015625,Missing Person,Missing Adult,060750312012
96230805043,2020-09-08,23:00:00,23,37.746097564697266,-122.42688751220703,Burglary,Burglary - Residential,060750215002
95983507041,2020-09-08,23:02:00,23,37.767372131347656,-122.42377471923828,Recovered Vehicle,Recovered Vehicle,060750202022
95984406126,2020-09-08,23:30:00,23,37.790462493896484,-122.39669036865234,Larceny Theft,Larceny Theft - Other,060750615011
95984463010,2020-09-08,23:30:00,23,37.790462493896484,-122.39669036865234,Warrant,Other,060750615011
95984207041,2020-09-08,23:31:00,23,37.7218132019043,-122.38774871826172,Recovered Vehicle,Recovered Vehicle,060750234002
96048906303,2020-09-08,23:40:00,23,37.73693084716797,-122.41099548339844,Larceny Theft,Larceny Theft - From Building,060750254023
95984375000,2020-09-08,23:42:00,23,37.769535064697266,-122.41449737548828,Missing Person,Missing Person,060750177002
95984107041,2020-09-08,23:45:00,23,37.738121032714844,-122.38156127929688,Recovered Vehicle,Recovered Vehicle,060750231021
96114305073,2020-09-08,23:52:00,23,37.743289947509766,-122.4702377319336,Burglary,Burglary - Other,060750304005
95989009320,2020-09-09,00:00:00,0,37.7324333190918,-122.39151763916016,Fraud,Fraud,060750232003
96012706244,2020-09-09,00:00:00,0,37.77373123168945,-122.44768524169922,Larceny Theft,Larceny - From Vehicle,060750165002
96099909029,2020-09-09,00:00:00,0,37.77375793457031,-122.46268463134766,Fraud,Fraud,060759803001
96112906224,2020-09-09,00:00:00,0,37.795528411865234,-122.42505645751953,Larceny Theft,Larceny - From Vehicle,060750131013
96114509024,2020-09-09,00:00:00,0,37.78770065307617,-122.40081024169922,Fraud,Fraud,060750615013
96198009029,2020-09-09,00:00:00,0,37.72314453125,-122.46463775634766,Fraud,Fraud,060750309003
96292106244,2020-09-09,00:00:00,0,37.77812576293945,-122.39183807373047,Larceny Theft,Larceny - From Vehicle,060750607011
100114509029,2020-09-09,00:00:00,0,37.72964859008789,-122.41392517089844,Fraud,Fraud,060750257011
107290975030,2020-09-09,00:00:00,0,37.72922897338867,-122.4308090209961,Case Closure,Case Closure,060750256004
97226809262,2020-09-09,00:01:00,0,37.7851676940918,-122.41790008544922,Forgery And Counterfeiting,Forgery And Counterfeiting,060750122032
95996105151,2020-09-09,00:30:00,0,37.79132843017578,-122.39957427978516,Burglary,Burglary - Other,060750117002
95993964070,2020-09-09,00:55:00,0,37.78512191772461,-122.40350341796875,Suspicious Occ,Suspicious Occ,060750615012
95990575000,2020-09-09,00:57:00,0,37.710208892822266,-122.45454406738281,Missing Person,Missing Person,060750262011
95984728110,2020-09-09,01:06:00,1,37.70853805541992,-122.46172332763672,Malicious Mischief,Vandalism,060750262013
95985168000,2020-09-09,01:50:00,1,37.743289947509766,-122.4702377319336,Fire Report,Fire Report,060750304005
95985061030,2020-09-09,01:54:00,1,37.7846565246582,-122.4144287109375,Other,Other,060750125022
96012628150,2020-09-09,02:00:00,2,37.766109466552734,-122.46216583251953,Malicious Mischief,Vandalism,060750301013
96040706244,2020-09-09,02:00:00,2,37.788597106933594,-122.41354370117188,Larceny Theft,Larceny - From Vehicle,060750121003
96092506374,2020-09-09,02:00:00,2,37.778602600097656,-122.4749526977539,Larceny Theft,Larceny Theft - Other,060750476001
96148105073,2020-09-09,02:00:00,2,37.7592887878418,-122.43485260009766,Burglary,Burglary - Other,060750206022
95984928100,2020-09-09,02:04:00,2,37.76398849487305,-122.4673843383789,Malicious Mischief,Vandalism,060750302022
95992505051,2020-09-09,02:18:00,2,37.7592887878418,-122.43485260009766,Burglary,Burglary - Commercial,060750206022
95992528030,2020-09-09,02:18:00,2,37.7592887878418,-122.43485260009766,Malicious Mischief,Vandalism,060750206022
95990905073,2020-09-09,02:30:00,2,37.78713607788086,-122.45523834228516,Burglary,Burglary - Other,060750133005
95994605041,2020-09-09,02:30:00,2,37.775875091552734,-122.40894317626953,Burglary,Burglary - Residential,060750178043
96090905041,2020-09-09,02:39:00,2,37.78092575073242,-122.4136734008789,Burglary,Burglary - Residential,060750125041
95986274000,2020-09-09,03:00:00,3,37.709678649902344,-122.4500961303711,Missing Person,Missing Adult,060750263033
95986275000,2020-09-09,03:00:00,3,37.709678649902344,-122.4500961303711,Missing Person,Missing Person,060750263033
96002607025,2020-09-09,03:15:00,3,37.74502944946289,-122.40557098388672,Motor Vehicle Theft,Motor Vehicle Theft,060750251003
96015705051,2020-09-09,03:18:00,3,37.74295425415039,-122.47783660888672,Burglary,Burglary - Commercial,060750330021
95985426030,2020-09-09,03:22:00,3,37.7650032043457,-122.42047882080078,Arson,Arson,060750201021
98635006372,2020-09-09,03:44:00,3,37.793975830078125,-122.42980194091797,Larceny Theft,Larceny Theft - Other,060750131022
96092706372,2020-09-09,04:00:00,4,37.7796745300293,-122.42353820800781,Larceny Theft,Larceny Theft - Other,060750160001
95985705041,2020-09-09,04:02:00,4,37.775875091552734,-122.40894317626953,Burglary,Burglary - Residential,060750178043
96425609024,2020-09-09,04:15:00,4,37.77293014526367,-122.38971710205078,Fraud,Fraud,060750607012
95990428150,2020-09-09,04:36:00,4,37.802791595458984,-122.42820739746094,Malicious Mischief,Vandalism,060750129012
95997205152,2020-09-09,04:42:00,4,37.783260345458984,-122.4027099609375,Burglary,Burglary - Other,060750176023
95997227130,2020-09-09,04:42:00,4,37.783260345458984,-122.4027099609375,Other Miscellaneous,Other,060750176023
95989575025,2020-09-09,04:52:00,4,37.72184753417969,-122.45512390136719,Non-Criminal,Non-Criminal,060750312011
95988775025,2020-09-09,04:57:00,4,37.72184753417969,-122.45512390136719,Non-Criminal,Non-Criminal,060750312011
95995804021,2020-09-09,05:00:00,5,37.70966339111328,-122.4117660522461,Assault,Aggravated Assault,060750264031
95995819400,2020-09-09,05:00:00,5,37.70966339111328,-122.4117660522461,Disorderly Conduct,Other,060750264031
95995875025,2020-09-09,05:00:00,5,37.70966339111328,-122.4117660522461,Non-Criminal,Non-Criminal,060750264031
95989375025,2020-09-09,05:02:00,5,37.70966339111328,-122.4117660522461,Non-Criminal,Non-Criminal,060750264031
96040206244,2020-09-09,06:00:00,6,37.79083251953125,-122.41099548339844,Larceny Theft,Larceny - From Vehicle,060750119022
95992705011,2020-09-09,06:17:00,6,37.783721923828125,-122.41423797607422,Burglary,Burglary - Residential,060750125024
96004307021,2020-09-09,07:00:00,7,37.740482330322266,-122.39070129394531,Motor Vehicle Theft,Motor Vehicle Theft,060759809001
95990105013,2020-09-09,07:18:00,7,37.75368881225586,-122.45745849609375,Burglary,Burglary - Residential,060750301021
96072906224,2020-09-09,07:30:00,7,37.78640365600586,-122.42321014404297,Larceny Theft,Larceny - From Vehicle,060750151001
95993368020,2020-09-09,07:58:00,7,37.784061431884766,-122.4288558959961,Miscellaneous Investigation,Miscellaneous Investigation,060750159002
95994906125,2020-09-09,08:00:00,8,37.79141616821289,-122.44282531738281,Larceny Theft,Larceny Theft - Other,060750134021
95998307025,2020-09-09,08:00:00,8,37.786224365234375,-122.38963317871094,Motor Vehicle Theft,Motor Vehicle Theft,060750615081
96043809024,2020-09-09,08:00:00,8,37.777183532714844,-122.4650650024414,Fraud,Fraud,060750452022
96048064070,2020-09-09,08:00:00,8,37.78745651245117,-122.39118194580078,Suspicious Occ,Suspicious Occ,060750615062
96000006364,2020-09-09,08:13:00,8,37.770896911621094,-122.41499328613281,Larceny Theft,Larceny Theft - Shoplifting,060750177002
97242106374,2020-09-09,08:13:00,8,37.770896911621094,-122.41499328613281,Larceny Theft,Larceny Theft - Other,060750177002
95990028160,2020-09-09,08:15:00,8,37.76708221435547,-122.40768432617188,Malicious Mischief,Vandalism,060750177001
